주차장명,주소,월 정기권 금액,위도,경도,
청계3(동호로) 공영주차장(시),중구 방산동 4-47 0,0,37.56856471,127.0020055,
청계3(동호로) 공영주차장(시),중구 방산동 4-47 0,0,37.56823502,127.0020307,
청계3(동호로) 공영주차장(시),중구 방산동 4-47 0,0,37.56867198,127.0019972,
청계3(동호로) 공영주차장(시),중구 방산동 4-47 0,0,37.56921838,127.0019525,
뉴국제호텔 앞(구),중구 무교동 18-0,250000,,,
소파로케이블카앞 관광버스전용 주차장(시),중구 회현동1가 1-15,0,37.55519966,126.9837428,
소파로케이블카앞 관광버스전용 주차장(시),중구 회현동1가 1-15,0,37.5551304,126.9836902,
진양상가노상공영주차장(구),중구 인현동2가 181-0 0,250000,,,
중곡복개천 공영주차장(B)(구),광진구 중곡동 277-20,100000,,,
중곡복개천 공영주차장(구),광진구 중곡동 150-196,100000,,,
신성시장길공영노상주차장(구),광진구 중곡동 83-16,100000,,,
송림 기사식당길 공영주차장(구),광진구 자양동 794-0,90000,,,
천호2동제2(구),강동구 천호동 431-2,0,,,
주양쇼핑앞 노상주차장(구),강동구 명일동 51-1,,,,
주양쇼핑옆 노상주차장(구),강동구 명일동 47-21,,,,
가산중앞(구),금천구 독산동 300-26,130000,,,
가산디지털환승(구),금천구 가산동 35-2,65000,,,
LG텔레콤(구),금천구 가산동 60-36,130000,,,
SJ테크노빌(구),금천구 가산동 60-19,130000,,,
사조냉장-무등실업(구),금천구 독산동 303-2,130000,,,
